,0,1,2,3
0,3,12.0,241719.0,3
1,3,13.0,599497.0,6
2,1,19.0,51160.0,4
3,3,9.0,3634343.0,6
4,1,17.0,4076287.0,4
5,3,17.0,1827055.0,4
6,1,17.0,375576.0,4
7,1,19.0,820593.0,5
8,3,12.0,1759966.0,3
9,3,9.0,291010.0,3
10,3,12.0,257357.0,2
11,3,12.0,2717416.0,2
12,1,19.0,358135.0,3
13,3,12.0,1195038.0,3
14,1,12.0,1038.0,6
15,3,19.0,14204286.0,9
16,1,19.0,104.0,5
17,3,11.0,18035.0,4
18,1,13.0,462187.0,4
19,1,9.0,10848383.0,6
20,1,19.0,2949.0,3
21,1,12.0,1093612.0,5
22,1,19.0,1122248.0,6
23,1,17.0,13134.0,5
24,3,19.0,944697.0,5
25,1,9.0,1629378.0,6
26,3,14.0,1022596.0,2
27,1,9.0,0.0,3
28,2,12.0,422103.0,3
29,1,17.0,2211518.0,4
30,1,3.0,622839.0,4
31,1,19.0,811042.0,1
32,3,17.0,24379.0,3
33,3,19.0,657821.0,6
34,1,4.0,658108.0,2
35,1,19.0,9560101.0,6
36,1,19.0,0.0,7
37,3,19.0,43169799.0,4
38,3,12.0,1526679.0,4
39,1,4.0,34467.0,4
40,3,12.0,0.0,3
41,3,18.0,2546767.0,4
42,3,14.0,713258.0,4
43,1,19.0,7373219.0,5
44,3,12.0,419954.0,3
45,1,19.0,77346.0,4
46,1,17.0,82076.0,3
47,1,12.0,129823.0,3
48,1,19.0,623999.0,3
49,1,19.0,99703.0,3
50,3,19.0,284269.0,4
51,1,5.0,37904.0,3
52,1,12.0,210805.0,3
53,1,19.0,9507.0,3
54,1,17.0,39824.0,4
55,1,4.0,154807.0,3
56,1,12.0,326517.0,4
57,1,19.0,403.0,4
58,3,15.0,462619.0,3
59,1,12.0,322712.0,3
60,1,12.0,46343.0,3
61,3,12.0,374739.0,3
62,3,13.0,1292481.0,3
63,1,13.0,3121.0,3
64,3,5.0,167773.0,2
65,1,12.0,202601.0,3
66,3,13.0,105449.0,2
67,1,9.0,2287681.0,6
68,3,14.0,1014759.0,4
69,3,19.0,538326.0,5
70,1,19.0,0.0,6
71,3,19.0,318411.0,5
72,3,9.0,103230.0,5
73,3,9.0,396131.0,4
74,1,12.0,543087.0,4
75,1,19.0,18576380.0,6
76,3,19.0,185131.0,6
77,3,17.0,679265.0,6
78,1,19.0,30387.0,3
79,1,9.0,281809.0,2
80,1,17.0,494257.0,4
81,1,17.0,1913895.0,4
82,1,19.0,53635.0,4
83,1,9.0,0.0,3
84,3,13.0,81566.0,3
85,1,19.0,71303.0,3
86,1,1.0,1279030.0,2
87,3,12.0,266339.0,4
88,1,13.0,44.0,2
89,3,12.0,241719.0,3
90,1,12.0,112967.0,5
91,1,19.0,2171487.0,7
92,3,13.0,599497.0,6
93,1,17.0,449361.0,5
94,1,4.0,6315.0,4
95,3,9.0,3634343.0,6
96,3,17.0,52536.0,5
97,1,17.0,4076287.0,4
98,1,12.0,1797077.0,5
99,2,19.0,2337624.0,4
100,1,9.0,469628.0,4
101,1,9.0,1947495.0,3
102,1,19.0,1609872.0,5
103,3,19.0,2210769.0,6
104,1,17.0,375576.0,4
105,1,17.0,118903.0,4
106,3,19.0,1120943.0,4
107,1,19.0,1950141.0,3
108,1,15.0,0.0,3
109,3,12.0,1759966.0,3
110,1,3.0,227789.0,4
111,1,19.0,14602.0,3
112,3,9.0,291010.0,3
113,3,15.0,1837372.0,4
114,3,12.0,2717416.0,2
115,1,5.0,0.0,2
116,3,16.0,838124.0,3
117,1,5.0,225829.0,2
118,1,19.0,1515.0,2
119,3,12.0,1195038.0,3
120,1,18.0,83456.0,3
121,3,12.0,423885.0,3
122,3,19.0,3892.0,3
123,1,19.0,46912.0,2
124,2,19.0,77342.0,2
125,1,12.0,1640005.0,4
126,1,9.0,1113.0,6
127,3,19.0,14204286.0,9
128,1,17.0,19739.0,5
129,1,14.0,0.0,6
130,1,19.0,59552.0,4
131,1,13.0,228892.0,5
132,3,11.0,18035.0,4
